dataset,method,contract,category,bugs,found,reward,bc_cov,first_bug,tokens
smartbugs,financefuzz,sm:token,arithmetic,0,0,0.0,0.625,,0
smartbugs,financefuzz,sm:tokensalechallenge,arithmetic,0,0,0.0,0.6364,,0
smartbugs,financefuzz,sm:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,0,0,0.0,0.2955,,0
smartbugs,financefuzz,sm:0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,1,1,0.0,0.6667,10.0,0
smartbugs,financefuzz,sm:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,reentrancy,1,1,0.0,0.6364,15.0,0
smartbugs,financefuzz,sm:0x4e73b32ed6c35f570686b89848e5f39f20ecc106,reentrancy,0,0,0.0,0.5909,,0
smartbugs,financefuzz,sm:0x561eac93c92360949ab1f1403323e6db345cbf31,reentrancy,1,1,0.0,0.7045,62.0,0
smartbugs,financefuzz,sm:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,reentrancy,1,1,0.0,0.675,17.0,0
smartbugs,financefuzz,sm:0x8c7777c45481dba411450c228cb692ac3d550344,reentrancy,0,0,0.0,0.3571,,0
smartbugs,financefuzz,sm:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,reentrancy,0,0,0.0,0.5833,,0
smartbugs,financefuzz,sm:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,reentrancy,0,0,0.0,0.4545,,0
smartbugs,financefuzz,sm:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,reentrancy,0,0,0.0,0.4286,,0
smartbugs,financefuzz,sm:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,reentrancy,1,1,0.0,0.6667,64.0,0
smartbugs,financefuzz,sm:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,reentrancy,0,0,0.0,0.4286,,0
smartbugs,financefuzz,sm:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,reentrancy,0,0,0.0,0.6667,,0
smartbugs,financefuzz,sm:reentrance,reentrancy,0,0,0.0,0.6667,,0
smartbugs,financefuzz,sm:reentrancy_bonus,reentrancy,0,0,0.0,0.6429,,0
smartbugs,financefuzz,sm:reentrancy_dao,reentrancy,0,0,0.0,0.6667,,0
smartbugs,financefuzz,sm:reentrancy_simple,reentrancy,0,0,0.0,0.6429,,0
smartbugs,financefuzz,sm:simple_dao,reentrancy,0,0,0.0,0.6,,0
smartbugs,financefuzz,sm:lotto,unchecked_low_level_calls,1,1,0.0,0.6923,1.0,0
smartbugs,rlfuzz,sm:arbitrary_location_write_simple,access_control,0,0,29.33,0.7333,,0
smartbugs,rlfuzz,sm:incorrect_constructor_name1,access_control,61,1,78.57,0.7143,9.0,0
smartbugs,rlfuzz,sm:incorrect_constructor_name2,access_control,41,1,78.57,0.7143,10.0,0
smartbugs,rlfuzz,sm:incorrect_constructor_name3,access_control,29,1,78.57,0.7143,1.0,0
smartbugs,rlfuzz,sm:mapping_write,access_control,0,0,30.0,0.75,,0
smartbugs,rlfuzz,sm:multiowned_vulnerable,access_control,6,1,82.22,0.8056,6.0,0
smartbugs,rlfuzz,sm:parity_wallet_bug_2,access_control,4,1,74.64,0.6159,15.0,0
smartbugs,rlfuzz,sm:simple_suicide,access_control,100,1,70.0,0.5,0.0,0
smartbugs,rlfuzz,sm:wallet_02_refund_nosub,access_control,10,1,77.14,0.6786,6.0,0
smartbugs,rlfuzz,sm:wallet_03_wrong_constructor,access_control,15,1,85.38,0.8846,0.0,0
smartbugs,rlfuzz,sm:wallet_04_confused_sign,access_control,74,1,76.67,0.6667,2.0,0
smartbugs,rlfuzz,sm:BECToken,arithmetic,0,0,22.31,0.5577,,0
smartbugs,rlfuzz,sm:token,arithmetic,79,1,32.5,0.6875,0.0,0
smartbugs,rlfuzz,sm:tokensalechallenge,arithmetic,0,0,27.27,0.6818,,0
smartbugs,rlfuzz,sm:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,0,0,30.0,0.75,,0
smartbugs,rlfuzz,sm:0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,0,0,28.0,0.7,,0
smartbugs,rlfuzz,sm:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,reentrancy,0,0,31.82,0.7955,,0
smartbugs,rlfuzz,sm:0x4e73b32ed6c35f570686b89848e5f39f20ecc106,reentrancy,0,0,31.82,0.7955,,0
smartbugs,rlfuzz,sm:0x561eac93c92360949ab1f1403323e6db345cbf31,reentrancy,0,0,33.64,0.8409,,0
smartbugs,rlfuzz,sm:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,reentrancy,0,0,28.0,0.7,,0
smartbugs,rlfuzz,sm:0x8c7777c45481dba411450c228cb692ac3d550344,reentrancy,0,0,28.57,0.7143,,0
smartbugs,rlfuzz,sm:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,reentrancy,0,0,33.33,0.8333,,0
smartbugs,rlfuzz,sm:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,reentrancy,0,0,30.91,0.7727,,0
smartbugs,rlfuzz,sm:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,reentrancy,0,0,28.57,0.7143,,0
smartbugs,rlfuzz,sm:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,reentrancy,0,0,28.0,0.7,,0
smartbugs,rlfuzz,sm:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,reentrancy,0,0,28.57,0.7143,,0
smartbugs,rlfuzz,sm:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,reentrancy,0,0,33.33,0.8333,,0
smartbugs,rlfuzz,sm:reentrance,reentrancy,38,1,36.11,0.7778,2.0,0
smartbugs,rlfuzz,sm:reentrancy_bonus,reentrancy,93,1,81.43,0.7857,0.0,0
smartbugs,rlfuzz,sm:reentrancy_dao,reentrancy,0,0,30.0,0.75,,0
smartbugs,rlfuzz,sm:reentrancy_simple,reentrancy,0,0,28.57,0.7143,,0
smartbugs,rlfuzz,sm:simple_dao,reentrancy,0,0,28.0,0.7,,0
smartbugs,rlfuzz,sm:lotto,unchecked_low_level_calls,44,1,80.77,0.7692,1.0,0
smartbugs,madfuzz,sm:arbitrary_location_write_simple,access_control,0,0,29.33,0.7333,,2723
smartbugs,madfuzz,sm:incorrect_constructor_name1,access_control,41,1,78.57,0.7143,3.0,2375
smartbugs,madfuzz,sm:incorrect_constructor_name2,access_control,54,1,78.57,0.7143,6.0,2499
smartbugs,madfuzz,sm:incorrect_constructor_name3,access_control,52,1,78.57,0.7143,10.0,2500
smartbugs,madfuzz,sm:mapping_write,access_control,0,0,25.0,0.625,,2797
