dataset,contract,category,iteration,kind,strategy,regime,new_bc,reward,bug,seed_bug,genuine
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,17,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,18,gen,logic_error_probe,greedy,0.0,0.5333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,19,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,20,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,21,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,22,mut,call_swap,random,0.0,0.5333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,23,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,24,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,25,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,26,mut,call_swap,greedy,0.0,1.0667,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,27,mut,call_swap,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,28,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,29,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,30,mut,arg_shuffle,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,31,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,32,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,33,mut,call_insert,greedy,0.0,1.8667,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,34,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,35,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,36,gen,price_oracle_probe,greedy,0.0,0.5333,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,37,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,38,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,39,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,40,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,41,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,42,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,reentrancy,43,mut,call_swap,greedy,0.0,0.0,False,False,False
